Gender,Age,StudyHoursPerWeek,AttendancePercentage,PreviousGrade,SleepHours,Absences,ParentEducation,FamilyIncome,ExtracurricularActivities,InternetAccess,ExamScore,PassFail
Male,18,9.4,80.7,63.0,8.0,3,High School,121303,Yes,Yes,50.1,Pass
Female,21,9.4,69.8,84.7,7.2,9,Doctorate,87098,No,Yes,55.2,Pass
Female,17,8.4,58.5,66.0,5.7,3,Associate,134382,No,Yes,45.5,Fail
Male,22,19.0,61.4,60.6,7.1,5,Associate,137443,No,Yes,50.5,Pass
Male,21,12.8,88.1,85.5,6.0,7,Bachelor,120900,Yes,Yes,65.4,Pass
Female,20,12.4,,54.9,7.2,6,Associate,147611,No,Yes,56.7,Pass
Female,20,2.0,71.6,57.9,6.0,4,High School,38897,Yes,Yes,45.5,Fail
Female,16,17.8,97.8,55.5,7.0,4,Bachelor,105236,Yes,Yes,51.7,Pass
Female,18,6.6,83.8,52.0,7.9,6,Bachelor,119751,No,Yes,39.2,Fail
Male,17,14.4,76.5,70.1,6.9,3,High School,139918,Yes,Yes,53.2,Pass
Female,17,15.7,69.7,60.8,6.5,2,Doctorate,66671,Yes,Yes,55.4,Pass
Female,19,22.2,89.3,74.8,7.2,4,High School,121533,Yes,Yes,64.5,Pass
Male,19,6.1,75.2,43.7,7.8,0,Associate,78874,Yes,Yes,47.8,Fail
Female,21,1.0,86.7,52.3,5.7,5,High School,126459,No,Yes,35.5,Fail
Female,17,15.1,81.6,68.7,7.3,3,Bachelor,111679,No,Yes,62.7,Pass
Male,21,24.8,88.6,88.6,8.6,5,Associate,144750,Yes,Yes,77.8,Pass
Male,22,21.4,60.8,73.3,7.7,4,Associate,88400,Yes,Yes,48.8,Fail
Male,21,15.3,69.8,59.7,7.1,1,Master,27676,No,Yes,47.6,Fail
Male,19,11.1,66.6,47.1,7.8,9,High School,22234,Yes,Yes,43.8,Fail
Female,18,18.8,50.7,58.9,7.5,4,Bachelor,130451,Yes,Yes,55.5,Pass
Female,21,8.2,89.9,67.4,7.9,2,Bachelor,102259,No,Yes,57.8,Pass
Male,15,16.9,72.1,35.0,4.6,6,Doctorate,52626,Yes,Yes,47.2,Fail
Female,18,17.0,76.9,51.0,5.1,5,Bachelor,19207,No,Yes,47.4,Fail
Female,17,20.4,78.0,57.7,8.2,6,High School,147330,Yes,Yes,54.8,Pass
Female,17,30.6,90.5,64.4,5.2,6,High School,100844,Yes,Yes,62.1,Pass
Female,21,16.4,57.3,67.2,7.5,5,Master,70097,No,Yes,58.9,Pass
Female,18,10.9,66.6,59.4,6.6,2,Master,138069,Yes,Yes,50.1,Pass
Female,19,13.8,73.2,75.1,5.8,2,Associate,71591,Yes,Yes,57.6,Pass
Female,19,3.4,85.1,69.7,7.4,4,Bachelor,129248,Yes,Yes,58.1,Pass
Female,20,9.8,87.8,62.8,7.2,4,Associate,95313,No,Yes,51.0,Pass
Male,17,11.5,72.2,77.0,9.5,8,Doctorate,122249,Yes,Yes,63.2,Pass
Male,16,10.9,98.6,75.9,6.3,3,Master,58459,Yes,Yes,68.3,Pass
Male,20,14.9,69.2,47.6,8.7,2,Doctorate,120331,Yes,Yes,53.0,Pass
Male,19,9.1,63.6,67.6,7.4,0,Master,120599,Yes,No,48.6,Fail
Male,18,20.7,95.6,80.5,6.2,5,Master,96405,No,Yes,63.0,Pass
Female,22,14.0,88.5,82.8,8.0,3,High School,107399,No,Yes,53.4,Pass
Male,19,13.9,91.3,73.2,7.7,3,Master,62802,Yes,Yes,55.6,Pass
Male,18,12.0,65.4,64.7,7.0,1,Bachelor,36782,No,Yes,57.1,Pass
Male,20,14.9,94.5,73.9,7.3,3,Doctorate,128446,Yes,Yes,58.7,Pass
Female,17,19.0,73.1,79.3,6.3,4,Bachelor,85963,Yes,Yes,71.8,Pass
Female,19,8.8,75.2,69.6,6.0,3,High School,94303,Yes,Yes,48.0,Fail
Female,21,10.1,78.7,71.2,7.9,0,Bachelor,101956,Yes,Yes,58.6,Pass
Female,18,12.2,57.8,64.5,6.7,1,Bachelor,54123,Yes,Yes,45.4,Fail
Male,17,5.9,96.4,49.3,6.9,5,High School,74198,Yes,Yes,47.1,Fail
Male,22,9.1,85.7,65.6,7.3,3,Associate,70872,No,Yes,49.9,Fail
Female,22,11.1,56.6,58.5,7.3,1,Bachelor,22902,No,No,44.6,Fail
Other,16,19.2,63.2,58.6,5.3,8,Associate,66554,No,Yes,40.7,Fail
Male,18,15.6,50.4,88.1,8.5,8,Associate,98490,Yes,Yes,57.3,Pass
Female,20,15.2,71.7,81.3,7.1,1,High School,75465,Yes,Yes,55.5,Pass
Female,16,19.1,88.1,44.3,6.8,5,Master,50800,No,Yes,52.3,Pass
Female,16,13.2,66.5,52.8,7.5,2,Bachelor,115143,Yes,Yes,53.2,Pass
Female,15,16.3,81.4,62.9,7.3,7,High School,136529,No,Yes,55.4,Pass
Female,19,13.4,57.3,59.0,7.9,1,Bachelor,96871,Yes,Yes,56.2,Pass
Female,18,15.6,83.2,72.4,7.6,3,Bachelor,89713,No,Yes,59.2,Pass
Female,16,10.5,47.8,50.6,7.9,7,High School,59206,Yes,Yes,36.8,Fail
Female,15,1.0,88.0,81.4,8.6,6,Associate,21926,Yes,Yes,55.6,Pass
Male,20,13.2,96.5,67.4,8.1,2,Bachelor,131682,Yes,Yes,66.4,Pass
Female,17,22.5,86.3,63.2,6.8,3,Associate,61056,No,No,50.9,Pass
Male,21,19.6,78.0,67.8,5.7,4,Bachelor,86495,Yes,Yes,64.1,Pass
Female,21,19.8,55.2,62.2,9.0,3,Associate,102147,No,Yes,45.7,Fail
Other,18,21.4,93.8,39.6,6.7,4,High School,74714,Yes,Yes,52.8,Pass
Female,16,14.5,96.4,68.2,6.4,2,Doctorate,147613,Yes,Yes,69.4,Pass
Female,21,15.2,72.3,63.5,4.9,4,High School,20478,Yes,No,43.7,Fail
Male,19,,61.5,54.6,7.4,3,Bachelor,82546,Yes,Yes,40.3,Fail
Male,21,12.1,80.2,83.4,7.2,6,High School,137147,Yes,Yes,55.2,Pass
Male,21,17.7,87.0,77.4,5.2,7,Associate,106373,Yes,Yes,45.9,Fail
Female,21,21.2,84.3,100.0,7.5,3,Associate,47974,No,Yes,68.8,Pass
Female,22,13.2,92.6,79.7,6.4,4,High School,62183,No,Yes,50.4,Pass
Male,15,11.3,58.8,59.0,10.0,2,Associate,118361,No,Yes,62.2,Pass
Male,16,14.0,74.4,55.3,6.3,2,High School,75148,No,Yes,51.5,Pass
Male,19,17.6,95.9,61.1,6.5,4,Bachelor,130007,Yes,Yes,60.6,Pass
Male,16,5.3,66.6,58.7,6.0,1,Bachelor,130239,Yes,Yes,55.3,Pass
Female,22,1.0,70.5,69.5,8.5,4,High School,126747,No,Yes,46.3,Fail
Male,18,10.7,58.1,46.5,6.6,3,Master,119245,Yes,Yes,40.4,Fail
Female,18,6.7,88.4,77.1,6.1,11,High School,41382,No,Yes,42.4,Fail
Female,18,11.0,76.6,69.3,7.8,3,High School,44649,Yes,Yes,58.0,Pass
Female,20,13.1,42.5,75.5,5.3,4,Bachelor,128559,Yes,Yes,46.2,Fail
Male,21,11.3,93.9,52.0,7.8,10,Associate,116099,Yes,Yes,49.0,Fail
Female,20,22.7,73.5,71.5,9.1,5,Associate,48373,Yes,Yes,63.9,Pass
Female,15,16.0,80.1,86.2,7.7,3,High School,40791,No,Yes,57.9,Pass
Male,18,15.8,80.0,56.0,7.8,3,Master,41115,Yes,Yes,58.4,Pass
Female,22,17.7,70.6,55.6,8.0,3,Bachelor,131109,No,No,52.8,Pass
Male,19,7.2,93.8,78.0,9.1,3,High School,101489,No,Yes,59.0,Pass
Female,16,20.2,92.2,54.4,8.5,3,Associate,41877,Yes,Yes,60.6,Pass
Female,21,13.5,76.1,64.7,7.5,1,Master,58273,No,Yes,56.9,Pass
Male,17,18.0,79.2,88.7,8.1,4,Bachelor,74035,Yes,Yes,70.4,Pass
Female,19,7.6,78.4,55.8,5.9,6,High School,129141,Yes,Yes,33.2,Fail
Female,21,4.7,79.7,89.6,7.9,3,Associate,59767,No,Yes,63.6,Pass
Female,20,18.9,76.9,63.3,5.8,4,High School,138456,Yes,Yes,52.7,Pass
Female,20,16.3,74.1,52.3,6.6,3,Associate,76565,Yes,Yes,47.1,Fail
Other,19,8.6,84.1,76.5,4.0,4,Master,107461,Yes,Yes,62.0,Pass
Female,20,8.8,89.0,69.5,7.5,4,Associate,146577,Yes,Yes,58.3,Pass
Male,18,20.8,81.8,68.2,6.2,6,Associate,128159,No,Yes,49.9,Fail
Female,15,6.9,94.8,57.2,8.3,3,Master,41091,No,Yes,53.8,Pass
Male,16,23.9,73.8,69.4,7.5,6,Bachelor,37584,No,Yes,58.1,Pass
Male,15,8.6,91.3,39.1,8.3,3,Bachelor,122861,Yes,Yes,48.2,Fail
Male,21,17.8,79.2,71.1,5.7,0,High School,140235,No,Yes,64.3,Pass
Female,16,12.0,78.6,86.2,8.2,6,Bachelor,132688,No,Yes,58.5,Pass
Female,22,17.6,89.2,43.3,9.5,4,Bachelor,34550,Yes,Yes,53.5,Pass
Female,16,10.7,89.2,62.3,7.9,7,Associate,110816,Yes,Yes,48.4,Fail
Male,15,13.0,94.2,55.8,7.9,4,Doctorate,29631,Yes,Yes,56.1,Pass
Male,19,14.2,86.3,46.8,7.2,7,Master,19125,Yes,Yes,53.3,Pass
Male,16,8.0,88.7,39.3,6.4,1,Bachelor,68581,Yes,Yes,45.8,Fail
Female,22,18.4,88.1,51.5,7.9,2,Associate,40485,Yes,Yes,55.1,Pass
Male,22,10.9,96.5,64.6,5.2,1,Associate,126539,No,Yes,55.7,Pass
Male,22,12.6,87.6,84.1,6.5,4,High School,101554,Yes,No,57.1,Pass
Female,15,8.0,83.4,46.7,4.9,7,Associate,92398,No,Yes,39.8,Fail
Female,16,1.0,70.8,72.1,6.2,2,Bachelor,33740,No,Yes,48.8,Fail
Male,17,12.9,75.1,71.1,7.8,2,Associate,106560,Yes,Yes,60.2,Pass
Male,19,28.5,66.1,91.4,7.6,9,Master,103877,No,Yes,79.4,Pass
Male,18,18.7,79.5,76.0,7.1,4,High School,27156,Yes,Yes,65.1,Pass
Female,16,13.9,51.2,76.8,7.2,3,Associate,132968,No,Yes,48.7,Fail
Male,22,12.4,91.4,77.8,4.7,9,Bachelor,114589,No,Yes,60.5,Pass
Female,17,14.1,72.1,55.1,6.6,2,Associate,81389,Yes,Yes,45.6,Fail
Female,18,17.3,76.0,60.0,6.2,3,Master,88938,Yes,Yes,55.3,Pass
Female,18,,49.5,83.6,6.2,3,Doctorate,85500,Yes,Yes,60.7,Pass
Male,21,20.7,88.9,39.3,7.7,2,High School,78734,Yes,Yes,54.4,Pass
Male,16,18.3,85.2,58.4,6.0,2,High School,50337,No,Yes,54.8,Pass
Male,15,18.3,79.8,49.4,6.3,6,High School,105095,Yes,Yes,44.5,Fail
Female,16,16.6,80.8,71.3,4.5,1,Bachelor,81829,No,Yes,55.6,Pass
Male,17,14.1,89.0,62.1,6.6,10,Associate,87830,Yes,Yes,51.1,Pass
Female,18,18.0,40.0,76.8,5.7,4,Bachelor,64939,No,Yes,49.6,Fail
Male,16,17.6,76.5,66.5,7.1,4,Associate,30965,Yes,Yes,60.8,Pass
Female,15,11.9,90.4,46.4,5.9,4,Bachelor,30228,Yes,Yes,49.1,Fail
Female,21,10.6,57.5,47.0,7.1,1,Bachelor,66419,No,Yes,41.6,Fail
Female,16,14.6,59.5,67.9,6.8,6,Associate,114913,Yes,Yes,41.8,Fail
Female,19,23.3,87.4,57.2,9.0,3,Associate,67229,No,Yes,61.7,Pass
Male,21,6.6,65.8,60.5,7.6,2,High School,48070,No,Yes,44.4,Fail
Male,15,5.2,83.9,81.1,4.8,2,Associate,142045,Yes,Yes,45.2,Fail
Female,17,15.0,62.5,78.6,5.5,2,Associate,25135,No,Yes,56.3,Pass
Male,18,14.3,82.6,93.2,7.1,6,Associate,117093,No,Yes,58.6,Pass
Female,16,15.0,70.7,63.6,5.9,10,Master,117626,Yes,Yes,55.2,Pass
Male,15,15.5,82.6,59.0,4.0,3,Master,57441,Yes,No,53.6,Pass
Male,21,12.7,63.3,73.9,8.6,4,Master,134190,No,Yes,51.2,Pass
Male,19,22.9,87.6,60.1,7.9,3,Associate,114108,Yes,Yes,69.2,Pass
Female,15,4.4,61.0,60.6,7.6,4,Bachelor,93043,Yes,Yes,53.9,Pass
Male,20,9.0,79.1,65.2,6.3,2,Associate,21062,Yes,No,49.0,Fail
Male,22,13.4,71.3,91.1,7.5,9,High School,108236,Yes,Yes,57.6,Pass
Female,19,4.1,93.0,77.9,6.2,6,Associate,70214,Yes,No,49.1,Fail
Female,21,12.9,83.5,79.3,7.2,3,High School,71409,Yes,Yes,50.1,Pass
Male,17,24.0,73.4,90.5,5.9,4,Associate,86089,No,Yes,70.6,Pass
Male,18,14.1,96.7,80.6,8.8,2,Associate,112047,No,Yes,59.1,Pass
Male,21,15.4,66.3,52.2,5.1,3,Doctorate,35428,Yes,Yes,60.2,Pass
Male,22,6.4,81.5,80.4,8.5,5,Associate,126283,Yes,Yes,59.5,Pass
Male,17,10.3,66.9,82.2,7.0,2,Master,52734,Yes,Yes,62.8,Pass
Female,16,11.7,65.3,77.1,6.4,4,High School,83107,No,Yes,48.9,Fail
Female,15,12.1,54.4,65.3,7.2,2,High School,104889,Yes,Yes,51.4,Pass
Female,20,21.7,97.8,75.6,7.9,5,Associate,130168,Yes,Yes,61.2,Pass
Male,19,17.3,79.2,67.7,8.6,3,Bachelor,102170,Yes,Yes,67.4,Pass
Female,19,7.3,66.0,54.3,7.4,4,High School,52782,Yes,Yes,43.1,Fail
Male,15,15.5,81.4,57.8,5.9,5,High School,88160,Yes,Yes,57.3,Pass
Male,20,17.0,78.3,77.9,7.1,1,Associate,136296,No,Yes,59.2,Pass
Male,15,20.8,,55.3,9.2,3,Associate,71077,Yes,Yes,60.5,Pass
Female,16,23.5,54.0,56.6,8.6,3,Bachelor,46534,Yes,No,53.3,Pass
Male,22,7.9,72.7,78.5,8.1,2,Associate,56636,No,Yes,56.4,Pass
Female,17,9.1,73.6,69.9,8.0,5,High School,117108,No,Yes,56.0,Pass
Male,21,6.5,88.9,76.1,7.8,2,Master,68486,Yes,Yes,60.0,Pass
Female,19,12.6,48.2,50.8,8.4,6,High School,112096,Yes,No,35.6,Fail
Female,16,16.8,84.3,75.7,6.5,2,Bachelor,51435,No,Yes,61.0,Pass
Male,17,19.9,95.8,58.8,5.4,3,Bachelor,51152,No,Yes,46.4,Fail
Female,16,13.5,57.9,53.8,7.1,6,Doctorate,127620,No,Yes,44.4,Fail
Female,20,12.1,94.3,60.9,6.0,6,Associate,76952,No,Yes,47.5,Fail
Male,19,14.9,97.6,87.1,5.7,2,Bachelor,37638,Yes,Yes,82.6,Pass
Male,21,9.0,75.3,62.9,6.1,3,Associate,135436,Yes,No,48.7,Fail
Male,15,26.5,94.9,98.8,10.0,3,Bachelor,34396,Yes,Yes,83.2,Pass
Male,15,4.4,90.4,39.1,7.2,6,Associate,41838,Yes,Yes,33.5,Fail
Male,17,15.1,85.6,46.4,7.4,0,Associate,56919,No,Yes,49.9,Fail
Female,21,26.1,89.1,86.5,5.5,1,Master,95895,No,Yes,78.0,Pass
Female,22,14.0,56.2,90.1,4.8,7,High School,65995,No,Yes,62.4,Pass
Female,18,12.9,66.5,55.9,6.0,6,Master,93593,No,Yes,43.4,Fail
Male,20,11.9,88.5,69.0,8.7,2,Master,149172,No,Yes,51.0,Pass
Male,17,12.9,62.8,78.0,7.4,7,Associate,112191,Yes,Yes,48.8,Fail
Female,18,22.2,68.1,64.8,7.7,2,Associate,88514,Yes,Yes,54.6,Pass
Female,16,1.0,70.8,70.1,7.9,7,Associate,28988,Yes,Yes,41.5,Fail
Male,20,23.2,89.2,68.2,6.3,4,Doctorate,137392,Yes,Yes,72.8,Pass
Female,16,5.5,92.1,47.3,8.7,2,High School,133137,Yes,Yes,48.4,Fail
Male,22,12.4,85.4,63.2,6.2,6,Bachelor,95229,Yes,Yes,48.5,Fail
Male,21,11.4,42.3,68.2,8.7,3,Bachelor,119471,No,Yes,54.1,Pass
Male,19,17.5,81.1,69.4,7.5,4,Master,56148,Yes,Yes,72.0,Pass
Female,20,4.4,78.7,43.8,4.9,1,Bachelor,42696,No,Yes,33.4,Fail
Male,18,16.8,97.7,78.6,6.1,3,Bachelor,29629,No,Yes,69.8,Pass
Male,22,26.1,83.8,69.8,4.9,4,High School,49051,No,Yes,56.8,Pass
Male,19,5.8,85.0,53.2,8.4,3,Associate,51469,Yes,Yes,43.7,Fail
Male,15,15.1,78.9,93.2,7.0,2,High School,90372,Yes,Yes,57.1,Pass
Male,18,10.0,91.4,63.1,4.3,5,Master,61406,Yes,Yes,53.7,Pass
Male,17,16.6,84.8,64.1,7.5,1,Bachelor,105754,Yes,Yes,58.7,Pass
Female,15,14.1,78.6,77.0,6.4,2,Bachelor,53017,Yes,Yes,62.5,Pass
Male,22,10.2,86.8,94.4,5.2,1,Bachelor,28705,Yes,Yes,78.4,Pass
Male,15,,80.9,77.5,9.0,6,Associate,104911,Yes,Yes,57.6,Pass
Female,17,24.8,96.6,79.6,7.1,1,High School,110469,Yes,Yes,62.5,Pass
Male,20,12.9,86.1,54.0,6.6,2,Associate,91654,No,Yes,48.1,Fail
Male,15,18.3,76.8,69.2,6.5,6,High School,110185,No,Yes,56.1,Pass
Male,21,,86.7,60.5,5.2,3,Bachelor,63318,Yes,Yes,50.8,Pass
Female,18,8.3,70.6,77.9,5.4,2,High School,92070,No,Yes,53.0,Pass
Female,19,16.8,75.4,79.2,8.5,3,Bachelor,67869,Yes,Yes,64.5,Pass
Other,15,22.9,90.6,90.9,6.4,2,Bachelor,21255,Yes,Yes,74.3,Pass
Male,18,16.1,86.6,37.8,7.0,8,Associate,138478,Yes,Yes,52.3,Pass
Female,16,12.1,78.3,59.2,4.5,13,High School,45841,No,Yes,32.8,Fail
Male,18,14.0,61.4,86.2,5.4,3,Associate,23334,Yes,Yes,52.9,Pass
Male,19,6.5,83.1,48.4,7.7,6,Associate,123134,Yes,Yes,39.5,Fail
Male,18,17.6,77.5,79.3,7.5,0,Bachelor,58522,Yes,Yes,68.2,Pass
Male,17,19.3,71.1,83.9,9.1,4,High School,48697,Yes,Yes,61.5,Pass
Female,22,11.3,95.0,67.6,8.6,3,Master,119936,Yes,Yes,66.3,Pass
Female,19,11.2,57.6,48.1,6.7,1,Bachelor,141935,Yes,Yes,46.3,Fail
Female,22,15.6,70.3,66.3,7.6,3,High School,34029,No,Yes,49.0,Fail
Male,20,11.4,94.1,88.4,6.6,3,Bachelor,83550,Yes,No,65.5,Pass
Female,22,13.6,69.6,89.5,9.5,6,Bachelor,93507,No,Yes,67.9,Pass
Female,16,26.6,64.7,70.9,8.4,6,Bachelor,106719,No,Yes,52.6,Pass
Female,17,12.5,71.2,54.3,7.2,3,High School,106499,No,Yes,39.4,Fail
Male,20,11.8,91.6,92.3,7.2,4,High School,119383,Yes,No,60.6,Pass
Male,18,10.1,82.6,79.5,8.7,7,High School,33646,No,Yes,61.6,Pass
Female,19,18.5,72.5,55.2,7.7,3,Associate,40713,No,Yes,44.8,Fail
Female,16,12.9,79.3,72.8,8.9,6,Bachelor,50267,Yes,Yes,57.8,Pass
Male,17,10.1,91.9,72.2,4.4,4,Bachelor,21864,Yes,Yes,53.7,Pass
Female,20,21.9,69.2,59.1,7.6,5,Master,94197,No,Yes,57.1,Pass
Female,20,22.5,68.9,72.9,6.4,2,High School,135201,Yes,Yes,48.6,Fail
Female,16,10.4,85.4,83.5,9.1,6,High School,90246,Yes,Yes,52.4,Pass
Female,21,2.8,74.9,63.9,8.9,6,Bachelor,50380,No,Yes,51.7,Pass
Female,18,20.0,65.3,84.9,7.0,2,High School,59284,Yes,Yes,61.4,Pass
Male,16,9.9,76.1,43.4,8.8,2,Associate,136178,Yes,Yes,42.7,Fail
Female,20,18.7,62.3,99.1,9.1,2,Associate,141556,Yes,Yes,67.8,Pass
Male,15,2.2,84.5,68.8,7.1,4,High School,73277,Yes,Yes,48.1,Fail
Female,17,19.4,83.0,83.0,10.0,5,Bachelor,33316,Yes,Yes,70.0,Pass
Male,16,,95.7,71.1,7.0,3,Associate,29325,No,Yes,43.4,Fail
Male,21,18.4,88.7,56.5,6.7,1,Bachelor,92922,Yes,Yes,54.9,Pass
Female,20,14.1,68.6,67.5,8.0,6,Master,131949,No,Yes,48.2,Fail
Male,18,8.3,61.8,41.3,6.6,2,High School,148856,Yes,Yes,41.8,Fail
Female,22,11.6,63.7,77.6,7.1,7,Master,122564,No,Yes,52.8,Pass
Male,20,18.1,74.6,70.7,8.7,5,Associate,94803,Yes,No,61.9,Pass
Female,18,14.6,89.5,65.3,7.0,3,Master,33419,No,Yes,62.9,Pass
Female,16,17.5,97.0,78.5,5.0,3,High School,63854,Yes,Yes,60.8,Pass
Female,18,,77.7,68.5,7.4,4,Bachelor,127796,No,Yes,60.8,Pass
Other,19,4.6,63.8,76.5,6.2,4,Associate,117427,Yes,No,53.1,Pass
Male,19,23.7,85.7,81.5,8.0,3,Bachelor,98535,Yes,No,74.3,Pass
Male,19,14.6,89.9,60.3,7.8,5,Bachelor,106855,Yes,Yes,56.4,Pass
Female,21,8.6,94.4,56.3,8.8,3,Associate,45633,No,Yes,45.3,Fail
Male,21,6.0,75.7,43.9,8.1,6,Master,134958,No,Yes,31.3,Fail
Female,15,12.9,43.5,69.7,8.3,5,Associate,42055,Yes,No,34.3,Fail
Male,21,19.5,40.0,74.3,6.2,4,High School,25025,Yes,Yes,52.4,Pass
Female,22,13.2,63.7,49.5,8.0,2,Bachelor,30549,No,Yes,48.6,Fail
Female,16,23.1,78.1,87.9,9.4,5,Bachelor,32853,No,Yes,63.2,Pass
Female,20,5.3,93.2,56.5,6.2,5,Associate,79156,No,Yes,51.9,Pass
Female,20,13.9,72.8,38.6,9.2,6,Associate,45163,Yes,Yes,42.2,Fail
Male,15,6.5,92.1,88.9,6.3,3,Doctorate,116136,No,Yes,61.8,Pass
Female,21,16.2,86.6,40.4,6.0,8,Bachelor,141296,Yes,Yes,52.7,Pass
Male,22,19.3,71.2,81.5,7.4,6,High School,32075,No,Yes,60.2,Pass
Female,18,11.5,87.2,78.1,7.9,5,High School,112245,No,Yes,53.7,Pass
Male,15,1.0,82.0,72.5,8.1,4,Doctorate,61315,No,Yes,56.6,Pass
Female,22,15.2,91.3,60.7,5.8,4,Bachelor,121245,Yes,No,57.7,Pass
Female,18,16.6,80.3,75.0,7.5,9,Master,34010,Yes,Yes,70.7,Pass
Male,22,16.4,,82.7,6.2,5,Associate,124548,No,Yes,58.3,Pass
Female,18,21.4,52.7,54.2,5.2,8,Bachelor,18605,Yes,Yes,41.1,Fail
Female,17,7.6,91.2,81.7,5.9,3,Bachelor,55315,No,Yes,61.6,Pass
Male,22,18.1,81.4,81.0,6.1,5,High School,26652,Yes,Yes,59.8,Pass
Male,20,21.2,87.1,72.1,7.6,2,Bachelor,138179,Yes,No,63.9,Pass
Female,19,3.3,66.2,60.5,8.4,5,Bachelor,111439,No,Yes,42.9,Fail
Female,21,15.9,91.7,81.1,5.2,3,Associate,98266,Yes,Yes,55.6,Pass
Male,18,11.0,58.3,75.1,7.4,5,Master,56541,Yes,Yes,56.6,Pass
Female,17,13.5,74.7,53.8,5.6,4,Master,82658,No,Yes,47.7,Fail
Female,22,16.1,92.5,62.9,7.8,4,Master,74327,Yes,Yes,60.4,Pass
Female,20,11.1,90.5,79.5,6.3,6,Master,111434,No,Yes,57.3,Pass
Male,19,9.9,64.1,69.6,5.7,2,Associate,61654,Yes,No,48.3,Fail
Male,18,14.2,73.5,83.2,8.0,3,Associate,33930,No,Yes,59.3,Pass
Female,22,7.5,84.4,63.2,6.3,5,Master,148682,Yes,Yes,54.0,Pass
Female,22,7.5,95.7,54.0,6.6,7,Associate,24775,No,Yes,50.6,Pass
Female,18,18.1,91.5,98.7,4.3,3,High School,23378,No,Yes,69.2,Pass
Male,15,7.1,86.4,44.5,8.1,1,Associate,64402,No,Yes,44.5,Fail
Female,15,18.0,81.0,61.0,8.0,3,High School,97712,No,Yes,46.7,Fail
Female,20,16.8,56.5,71.9,7.0,5,Bachelor,43060,Yes,Yes,57.7,Pass
Male,19,3.6,53.1,81.8,5.2,4,Associate,145067,No,Yes,43.6,Fail
Female,18,9.9,71.3,77.1,8.5,5,High School,146334,Yes,Yes,51.8,Pass
Male,20,21.2,72.6,100.0,6.2,2,Doctorate,136684,No,Yes,66.8,Pass
Female,20,8.1,71.2,66.4,6.5,2,Bachelor,111104,Yes,Yes,55.4,Pass
Female,16,11.2,62.2,55.8,9.8,5,Bachelor,40765,Yes,Yes,61.6,Pass
Female,22,16.8,46.3,64.9,6.2,4,Bachelor,134677,Yes,Yes,48.0,Fail
Male,21,18.7,63.3,63.5,7.9,3,Master,112385,Yes,Yes,61.5,Pass
Male,22,12.5,99.2,67.0,7.7,10,Bachelor,120649,Yes,Yes,62.2,Pass
Male,15,10.4,86.4,54.2,7.5,5,Bachelor,26174,Yes,No,46.0,Fail
Female,19,22.5,52.8,79.0,7.3,4,Doctorate,63820,No,Yes,49.4,Fail
Male,22,24.4,94.5,73.2,7.5,4,High School,144518,Yes,Yes,67.9,Pass
Female,18,19.9,63.3,50.3,7.3,6,Master,90582,Yes,Yes,52.1,Pass
Female,20,14.5,58.6,81.6,6.9,4,Associate,34722,No,No,51.6,Pass
Male,18,9.2,40.0,56.6,8.8,1,Associate,126157,Yes,Yes,44.1,Fail
Female,16,9.0,93.3,51.4,5.4,2,High School,89504,No,No,48.4,Fail
Female,19,17.1,89.2,69.2,8.2,3,Associate,128760,Yes,Yes,60.6,Pass
Female,20,16.5,81.5,43.4,8.0,7,Bachelor,58452,Yes,Yes,59.6,Pass
Female,18,22.4,92.3,76.3,7.8,4,Doctorate,46270,Yes,No,72.6,Pass
Female,15,17.9,69.0,35.0,8.3,3,Doctorate,59129,Yes,No,53.4,Pass
Male,21,5.0,73.2,53.6,6.9,9,Doctorate,24387,Yes,Yes,46.2,Fail
Female,16,20.3,84.1,90.1,4.8,5,Associate,42394,Yes,Yes,67.3,Pass
Male,19,8.0,84.8,58.4,6.9,3,Doctorate,145113,Yes,No,45.2,Fail
Male,16,11.7,72.6,60.8,5.8,3,Associate,94827,No,Yes,44.6,Fail
Female,15,15.5,93.8,85.8,6.1,3,Master,129110,No,Yes,72.3,Pass
Female,19,26.0,69.3,56.9,5.5,5,High School,53241,Yes,Yes,52.2,Pass
Female,16,32.7,95.6,78.7,6.4,3,Associate,46337,No,Yes,64.8,Pass
Male,17,17.6,90.5,84.4,6.3,5,Doctorate,118992,No,No,61.0,Pass
Female,15,12.9,90.8,74.7,4.1,5,Master,22804,Yes,Yes,57.9,Pass
Male,15,17.2,49.2,47.8,7.8,2,Bachelor,75450,Yes,Yes,47.6,Fail
Female,15,19.3,65.8,59.5,9.7,2,Bachelor,77529,Yes,Yes,53.3,Pass
Male,17,12.1,64.6,100.0,7.7,2,High School,140766,No,Yes,66.6,Pass
Female,17,24.8,72.1,61.1,6.8,1,Bachelor,49334,No,Yes,59.8,Pass
Female,18,15.4,82.4,100.0,6.9,4,Bachelor,81452,Yes,Yes,63.0,Pass
Male,20,17.0,63.5,91.9,6.5,1,High School,125018,No,Yes,67.0,Pass
Male,21,18.0,61.4,75.3,7.1,4,High School,57440,No,Yes,51.3,Pass
Female,16,16.5,71.9,72.2,7.0,8,High School,81118,No,Yes,51.1,Pass
Male,18,19.0,65.7,61.5,6.0,3,Bachelor,103263,No,Yes,53.9,Pass
Female,16,10.3,81.2,66.8,9.0,3,High School,144775,No,Yes,52.3,Pass
